hour,avg_temp_F,temp_F,month,dom,year,doy
21,54.306712109375034,51.29960000000004,3,12,2016,72
22,53.04611058386841,48.68600000000003,3,12,2016,72
23,51.525696246006426,45.753080000000054,3,12,2016,72
0,50.36648750000003,46.43960000000003,3,13,2016,73
1,49.59523823000003,45.28580000000005,3,13,2016,73
2,48.77655115778691,44.13200000000002,3,13,2016,73
3,48.0271915580569,41.01566000000004,3,13,2016,73
4,47.60468460850559,41.94680000000002,3,13,2016,73
5,46.8803347834646,42.20960000000002,3,13,2016,73
6,46.68511980325917,41.74160000000004,3,13,2016,73
7,47.14141536869088,41.41040000000004,3,13,2016,73
8,47.325581563971774,43.64240000000005,3,13,2016,73
9,49.10887282608699,47.58800000000003,3,13,2016,73
10,51.91760084828396,50.84060000000004,3,13,2016,73
11,54.474579374028025,54.093200000000046,3,13,2016,73
12,56.83308511115448,57.94520000000002,3,13,2016,73
13,58.272638755887,58.33580000000004,3,13,2016,73
14,59.74750207345975,58.72640000000005,3,13,2016,73
15,60.299873328718384,58.69760000000004,3,13,2016,73
16,60.288751772979424,59.06840000000004,3,13,2016,73
17,60.27012598527073,59.22680000000007,3,13,2016,73
18,59.2518929464286,57.959600000000044,3,13,2016,73
19,57.89326597444092,56.210000000000036,3,13,2016,73
20,55.96643418590767,54.114800000000045,3,13,2016,73
21,54.306712109375034,51.23696000000003,3,13,2016,73
22,53.04611058386841,51.13040000000005,3,13,2016,73
23,51.525696246006426,49.13276000000004,3,13,2016,73
0,50.36648750000003,49.90640000000005,3,14,2016,74
1,49.59523823000003,47.95160000000004,3,14,2016,74
2,48.77655115778691,45.99680000000002,3,14,2016,74
3,48.0271915580569,44.86514000000003,3,14,2016,74
4,47.60468460850559,44.65760000000003,3,14,2016,74
5,46.8803347834646,44.21534000000005,3,14,2016,74
6,46.68511980325917,44.69720000000005,3,14,2016,74
7,47.14141536869088,44.564000000000036,3,14,2016,74
8,47.325581563971774,45.27860000000004,3,14,2016,74
9,49.10887282608699,48.711200000000034,3,14,2016,74
10,51.91760084828396,51.00440000000003,3,14,2016,74
11,54.474579374028025,53.29760000000003,3,14,2016,74
12,56.83308511115448,53.96846000000003,3,14,2016,74
13,58.272638755887,55.515200000000036,3,14,2016,74
14,59.74750207345975,55.275260000000024,3,14,2016,74
15,60.299873328718384,55.91120000000005,3,14,2016,74
16,60.288751772979424,56.28560000000003,3,14,2016,74
17,60.27012598527073,55.493600000000036,3,14,2016,74
18,59.2518929464286,53.45150000000005,3,14,2016,74
19,57.89326597444092,54.19400000000004,3,14,2016,74
20,55.96643418590767,51.56600000000005,3,14,2016,74
21,54.306712109375034,49.82882000000004,3,14,2016,74
22,53.04611058386841,49.44200000000004,3,14,2016,74
23,51.525696246006426,47.69942000000001,3,14,2016,74
0,50.36648750000003,47.30720000000004,3,15,2016,75
1,49.59523823000003,46.250600000000034,3,15,2016,75
2,48.77655115778691,45.19400000000003,3,15,2016,75
3,48.0271915580569,43.06460000000005,3,15,2016,75
4,47.60468460850559,43.24280000000003,3,15,2016,75
5,46.8803347834646,42.35540000000006,3,15,2016,75
6,46.68511980325917,43.775600000000054,3,15,2016,75
7,47.14141536869088,43.93400000000003,3,15,2016,75
8,47.325581563971774,45.939200000000035,3,15,2016,75
9,49.10887282608699,46.78538000000005,3,15,2016,75
